#atom id / phi / psi / chi1 /chi 2: 
#
all results: 
6 -72 132 -58 -60 26.139210 
12 -72 132 -76 68 21.283079 
5 -100 126 -64 -169 35.912329 
5 -112 8 -64 -169 40.754429 
4 -64 -45 55 84 65.771284 
6 -105 -45 -54 91 31.448610 
12 -112 8 60 174 15.694879 
24 -112 8 -64 -169 13.104892 
6 -64 -45 -64 -169 29.226210 
24 -126 129 -54 91 17.922692 
12 -115 126 -175 167 11.089879 
6 -64 -45 -54 91 31.809810 
12 -115 126 -64 169 15.245879 
6 -126 129 -64 169 26.894810 
6 -115 126 -64 -169 26.203110 
5 -72 132 55 84 37.213429 
24 -112 8 60 174 13.706792 
24 -115 126 -167 65 14.408792 
24 -71 -18 -64 169 14.131092 
6 -64 -45 -58 -60 27.096810 
4 -100 126 -167 65 53.277284 
24 -71 -18 -175 167 14.629592 
4 -130 157 55 84 58.079184 
5 -71 -18 -167 65 40.240529 
4 -72 132 -54 91 66.428484 
5 -112 8 55 84 34.200529 
6 -64 -45 -76 68 35.500010 
6 -115 126 -76 68 34.807010 
6 -115 126 -167 65 28.800010 
24 -72 132 60 174 13.762092 
24 -126 129 -64 -169 13.051792 
12 -105 -45 -58 -60 16.444779 
5 -72 132 -64 -169 35.398229 
12 -71 -18 55 84 24.328279 
12 -112 8 55 84 22.800179 
4 -71 -18 60 174 65.502284 
6 -71 -18 -175 167 28.674610 
6 -126 129 60 174 22.724610 
4 -130 157 -175 167 59.958484 
5 -130 157 -76 68 43.392429 
5 -64 -45 -167 65 39.103929 
12 -115 126 55 84 23.790279 
12 -130 157 60 174 16.762979 
5 -130 157 -64 169 43.112729 
6 -71 -18 -64 169 30.180010 
12 -126 129 -58 -60 16.321479 
6 -130 157 -58 -60 27.832910 
24 -71 -18 60 174 13.877192 
12 -130 157 -175 167 11.681879 
6 -130 157 60 174 23.066310 
5 -130 157 60 174 42.084729 
4 -115 126 -76 68 62.314684 
4 -72 132 -58 -60 59.076084 
6 -64 -45 60 174 23.810010 
4 -71 -18 55 84 63.341184 
24 -64 -45 55 84 15.308192 
6 -100 126 -54 91 30.930610 
12 -71 -18 -175 167 12.927979 
24 -105 -45 55 84 15.437392 
5 -126 129 -76 68 40.668829 
5 -72 132 -64 169 37.671029 
5 -112 8 -58 -60 38.949729 
4 -112 8 60 174 61.747684 
4 -112 8 -64 -169 62.219184 
6 -72 132 -64 169 27.967210 
12 -130 157 55 84 24.192079 
6 -115 126 55 84 26.678210 
6 -100 126 -64 169 26.825510 
4 -112 8 55 84 58.766884 
24 -112 8 -167 65 13.787392 
5 -130 157 -64 -169 40.731829 
5 -112 8 -54 91 40.870229 
5 -72 132 -167 65 38.394329 
12 -64 -45 -76 68 20.517179 
5 -115 126 -58 -60 35.662529 
5 -115 126 60 174 38.926529 
6 -71 -18 55 84 26.650110 
5 -72 132 -58 -60 33.893929 
6 -115 126 -64 169 26.576610 
6 -126 129 -64 -169 26.184410 
12 -115 126 -64 -169 15.120479 
12 -115 126 -167 65 17.204579 
6 -64 -45 -64 169 29.002410 
24 -112 8 -64 169 13.933092 
24 -64 -45 -167 65 14.307792 
24 -126 129 -58 -60 8.104992 
6 -71 -18 60 174 24.106010 
5 -112 8 -64 169 43.236129 
